litv影視,#genre#
139視納華仁紀實頻道,https://www.litv.tv/channel/watch/4gtv-4gtv013
141佳映娛樂,https://www.litv.tv/channel/watch/litv-vchannel141
142Focus亞洲電影台,https://www.litv.tv/channel/watch/litv-vchannel142
143華語電影台,https://www.litv.tv/channel/watch/litv-vchannel143
144Focus精采戲劇台,https://www.litv.tv/channel/watch/litv-playout953
145八大精彩台,https://www.litv.tv/channel/watch/4gtv-4gtv034
146采昌影劇台,https://www.litv.tv/channel/watch/4gtv-4gtv049
147靖天戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv058
148靖天日本台,https://www.litv.tv/channel/watch/4gtv-4gtv047
149靖天育樂台,https://www.litv.tv/channel/watch/4gtv-4gtv062
150靖天國際台,https://www.litv.tv/channel/watch/4gtv-4gtv063
151靖洋戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv045
152靖天綜合台,https://www.litv.tv/channel/watch/4gtv-4gtv046
153靖天歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv054
154靖天資訊台,https://www.litv.tv/channel/watch/4gtv-4gtv065
155民視旅遊台,https://www.litv.tv/channel/watch/litv-ftv07
156Smart知識台,https://www.litv.tv/channel/watch/litv-longturn19
157愛爾達娛樂台,https://www.litv.tv/channel/watch/4gtv-4gtv070
158中視菁采台,https://www.litv.tv/channel/watch/4gtv-4gtv064
159中視經典台,https://www.litv.tv/channel/watch/4gtv-4gtv080
160八大綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv039
162客家電視台,https://www.litv.tv/channel/watch/4gtv-4gtv043
163金光布袋戲台,https://www.litv.tv/channel/watch/litv-vchannel163
164Focus探索新知台,https://www.litv.tv/channel/watch/litv-vchannel164
165相聲瓦舍,https://www.litv.tv/channel/watch/litv-vchannel165
166市井豪門,https://www.litv.tv/channel/watch/litv-vchannel166
167燼相思,https://www.litv.tv/channel/watch/litv-vchannel167
168我的婆婆怎麼那麼可愛,https://www.litv.tv/channel/watch/litv-vchannel168
169賀先生的戀戀不忘,https://www.litv.tv/channel/watch/litv-vchannel169
170大老婆的反擊,https://www.litv.tv/channel/watch/litv-vchannel169
171一把青,https://www.litv.tv/channel/watch/litv-vchannel171
172以家人之名,https://www.litv.tv/channel/watch/litv-vchannel172
173漂洋過海來看你,https://www.litv.tv/channel/watch/litv-vchannel173
174俗女養成記,https://www.litv.tv/channel/watch/litv-vchannel174
175愛情是Beautiful，人生是Wonderful,https://www.litv.tv/channel/watch/litv-vchannel175
176風起西州,https://www.litv.tv/channel/watch/litv-vchannel176
177一代匠師,https://www.litv.tv/channel/watch/litv-vchannel177
180電動車時代,https://www.litv.tv/channel/watch/litv-vchannel180
181SiCAR愛車酷,https://www.litv.tv/channel/watch/litv-vchannel181
182Auto-Online 汽車線上情報誌,https://www.litv.tv/channel/watch/litv-vchannel182
