臺灣 Taiwan,#genre#
AFC 亞洲旅遊台,https://haoyunlai.serv00.net/Smartv-1.php?id=asiatravel_twn
BBC World News,https://haoyunlai.serv00.net/Smartv-1.php?id=bbcnews_twn
Foodnetwork Hd,https://haoyunlai.serv00.net/Smartv-1.php?id=Foodnetwork_mega
HGTV,https://haoyunlai.serv00.net/Smartv-1.php?id=HGTV
Arena,https://haoyunlai.serv00.net/Smartv-1.php?id=Arena
Goshop,https://haoyunlai.serv00.net/Smartv-1.php?id=Goshop
Celestial Movies HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Celestial_mega
Arena 2,https://haoyunlai.serv00.net/Smartv-1.php?id=Arena2
Axn HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Axn
Paramount Network,https://haoyunlai.serv00.net/Smartv-1.php?id=Paramountnetwork
BolaArena 1,https://haoyunlai.serv00.net/Smartv-1.php?id=Bolaarena1
Astrol Kplus,https://haoyunlai.serv00.net/Smartv-1.php?id=Kplus
Rock Actions,https://haoyunlai.serv00.net/Smartv-1.php?id=Rockaction
Bloomberg News,https://haoyunlai.serv00.net/Smartv-1.php?id=bloomberg_twn
Al-Jazeera,https://haoyunlai.serv00.net/Smartv-1.php?id=aljazeera_twn
Rock Entertainment,https://haoyunlai.serv00.net/Smartv-1.php?id=Rockentertain
Showcase,https://haoyunlai.serv00.net/Smartv-1.php?id=Showcase_mega
BolaArena 2,https://haoyunlai.serv00.net/Smartv-1.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,https://haoyunlai.serv00.net/Smartv-1.php?id=Channel5HD
Channel 5(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Ch5_mega
Channel 8,https://haoyunlai.serv00.net/Smartv-1.php?id=Channel8HD
Channel 8(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Ch8_mega
Suria,https://haoyunlai.serv00.net/Smartv-1.php?id=Suria
Suria(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Suria_backup
Channel U,https://haoyunlai.serv00.net/Smartv-1.php?id=ChannelU
Channel U(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=ChU_mega
Vasantham,https://haoyunlai.serv00.net/Smartv-1.php?id=Vasantham
Vasantham(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Vasantham_mega
CNA,https://haoyunlai.serv00.net/Smartv-1.php?id=cna
CNA(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,https://haoyunlai.serv00.net/Smartv-1.php?id=TVRI
RCTI,https://haoyunlai.serv00.net/Smartv-1.php?id=Rcti
Kompass TV,https://haoyunlai.serv00.net/Smartv-1.php?id=Kompass
Berita Satu,https://haoyunlai.serv00.net/Smartv-1.php?id=BeritaSatu_eko
Indosiar HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Indosiar
AnTV,https://haoyunlai.serv00.net/Smartv-1.php?id=Antv
MNC TV,https://haoyunlai.serv00.net/Smartv-1.php?id=Mnctv
Trans 7,https://haoyunlai.serv00.net/Smartv-1.php?id=Trans7_eko
Transtv,https://haoyunlai.serv00.net/Smartv-1.php?id=Transtv
JTV,https://haoyunlai.serv00.net/Smartv-1.php?id=JTV_eko
Metro TV,https://haoyunlai.serv00.net/Smartv-1.php?id=metrotv_eko
Cinemax,https://haoyunlai.serv00.net/Smartv-1.php?id=Cinemax
SCTV,https://haoyunlai.serv00.net/Smartv-1.php?id=SCTV
Tvone,https://haoyunlai.serv00.net/Smartv-1.php?id=Tvone
TVMU,https://haoyunlai.serv00.net/Smartv-1.php?id=TVMU_eko
GTV,https://haoyunlai.serv00.net/Smartv-1.php?id=Gtv
RTV,https://haoyunlai.serv00.net/Smartv-1.php?id=Rtv
Jak TV,https://haoyunlai.serv00.net/Smartv-1.php?id=JakTV
iNews TV,https://haoyunlai.serv00.net/Smartv-1.php?id=Inewstv
Daai TV,https://haoyunlai.serv00.net/Smartv-1.php?id=DaaiTV
Net TV,https://haoyunlai.serv00.net/Smartv-1.php?id=NetTV
Animax,https://haoyunlai.serv00.net/Smartv-1.php?id=Animax
EWTN,https://haoyunlai.serv00.net/Smartv-1.php?id=Ewtn
AlQuran AlKareem,https://haoyunlai.serv00.net/Smartv-1.php?id=AlQuran
Tawaf TV,https://haoyunlai.serv00.net/Smartv-1.php?id=TawafTV
Vision Prime,https://haoyunlai.serv00.net/Smartv-1.php?id=VisionPrime
Muslim TV,https://haoyunlai.serv00.net/Smartv-1.php?id=MuslimTV
Music TV,https://haoyunlai.serv00.net/Smartv-1.php?id=MusicTV
Lifestyle&Fashion,https://haoyunlai.serv00.net/Smartv-1.php?id=Lifestyle
Entertain,https://haoyunlai.serv00.net/Smartv-1.php?id=Entertain
Hits,https://haoyunlai.serv00.net/Smartv-1.php?id=Hits
Warner TV,https://haoyunlai.serv00.net/Smartv-1.php?id=WarnerTV
SCM,https://haoyunlai.serv00.net/Smartv-1.php?id=Weishimovie
Thrill,https://haoyunlai.serv00.net/Smartv-1.php?id=Thrill
Fight Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=Fs
Beinsports 2 HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Bein2hd
Hits Movie,https://haoyunlai.serv00.net/Smartv-1.php?id=Hitsmovie
One,https://haoyunlai.serv00.net/Smartv-1.php?id=One_mega
tvN Movie,https://haoyunlai.serv00.net/Smartv-1.php?id=Tvnmovie
Celestial Movies HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Celestialindo
Rock Actions,https://haoyunlai.serv00.net/Smartv-1.php?id=Rockaction
Rock Entertainment,https://haoyunlai.serv00.net/Smartv-1.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=j2_hkdavid
J2,https://haoyunlai.serv00.net/Smartv-1.php?id=j2_twn
RHK 31,https://haoyunlai.serv00.net/Smartv-1.php?id=rhk31_twn
RHK 32,https://haoyunlai.serv00.net/Smartv-1.php?id=rhk32_twn
TVB 星河,https://haoyunlai.serv00.net/Smartv-1.php?id=tvbxinhe_twn
VIUTV1,https://haoyunlai.serv00.net/Smartv-1.php?id=viu1_twn
Viu TV 69,https://haoyunlai.serv00.net/Smartv-1.php?id=viutv69_hkdavid
Viu6,https://haoyunlai.serv00.net/Smartv-1.php?id=viusix_twn
iNews 新聞台,https://haoyunlai.serv00.net/Smartv-1.php?id=inews_twn
無線財經資訊台,https://haoyunlai.serv00.net/Smartv-1.php?id=tvbcaijing_twn
珍珠台(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=pearl_hkdavid
珍珠台,https://haoyunlai.serv00.net/Smartv-1.php?id=pearl_twn
翡翠台(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=jade_mike
翡翠台,https://haoyunlai.serv00.net/Smartv-1.php?id=jade_twn
鳳凰衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=phoenixtv_hd
鳳凰資訊,https://haoyunlai.serv00.net/Smartv-1.php?id=phoenixinfo_hd
鳳凰香港,https://haoyunlai.serv00.net/Smartv-1.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv1
CCTV-2,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv2
CCTV-3,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv3
CCTV-4,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv4
CCTV-4 ,https://haoyunlai.serv00.net/Smartv-1.php?id=Cctv4
CCTV-5,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv5
CCTV-5+,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv5plus
CCTV-6,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv6
CCTV-7,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv7
CCTV-8,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv8hd
CCTV-9,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv9hd
CCTV-10,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv10hd
CCTV-11,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv11
CCTV-12,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv12
CCTV-13,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv13
CCTV-14,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv14
CCTV-15,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv15
CCTV-16,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv16
CCTV-17,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv17
湖南衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=hunan_twn
江蘇衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=jiangsu_twn
深圳衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=shenzhen
大灣區衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=nanfang_twn
廣東衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=guangdongweishi_twn
北京衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=beijing
廣東珠江,https://haoyunlai.serv00.net/Smartv-1.php?id=zhujiang
廣西衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=guangxi
湖北衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=hubei
四川衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=sichuan_twn
鳳凰衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=phoenixtv_hd
東方衛視,https://haoyunlai.serv00.net/Smartv-1.php?id=dongfangweishi_twn
CGTN,https://haoyunlai.serv00.net/Smartv-1.php?id=CGTN
鳳凰資訊,https://haoyunlai.serv00.net/Smartv-1.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,https://haoyunlai.serv00.net/Smartv-1.php?id=Assp1
Supersports 1(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=go_assp1
Supersportq 1(備用2),https://haoyunlai.serv00.net/Smartv-1.php?id=Assp1_mega
Supersports 2,https://haoyunlai.serv00.net/Smartv-1.php?id=Assp2
Supersports 2(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=go_assp2
Supersports 3,https://haoyunlai.serv00.net/Smartv-1.php?id=Assp3
Supersports 3(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=go_assp3
Supersports 3(備用2),https://haoyunlai.serv00.net/Smartv-1.php?id=Assp3_mega
Supersports 4,https://haoyunlai.serv00.net/Smartv-1.php?id=Assp4_mega
Supersports 4(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=go_assp4
Supersports 5,https://haoyunlai.serv00.net/Smartv-1.php?id=go_assp5
Bein 2HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Beinhd
Beinsports HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Besports
Champion 5 EPL,https://haoyunlai.serv00.net/Smartv-1.php?id=Champion5epl
WWE,https://haoyunlai.serv00.net/Smartv-1.php?id=Wwe
Champion 6 EPL,https://haoyunlai.serv00.net/Smartv-1.php?id=Champion6epl
Fight Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=Fs
UFC Network,https://haoyunlai.serv00.net/Smartv-1.php?id=ufc_mega
NBA TV,https://haoyunlai.serv00.net/Smartv-1.php?id=nbatv_twn
Astro Cricket,https://haoyunlai.serv00.net/Smartv-1.php?id=Acricket_mega
Astro Golf,https://haoyunlai.serv00.net/Smartv-1.php?id=Agolf
TNT Sports 1,https://haoyunlai.serv00.net/Smartv-1.php?id=beeone
TNT Sports 2,https://haoyunlai.serv00.net/Smartv-1.php?id=beetwo
TNT Sports 3,https://haoyunlai.serv00.net/Smartv-1.php?id=beethree
TNT Sports 4,https://haoyunlai.serv00.net/Smartv-1.php?id=beefour
Sony Ten 1,https://haoyunlai.serv00.net/Smartv-1.php?id=ten1_raj
Sony Ten 2,https://haoyunlai.serv00.net/Smartv-1.php?id=ten2_raj
Sony Ten 3,https://haoyunlai.serv00.net/Smartv-1.php?id=ten3_raj
SPOTV 1 HD,https://haoyunlai.serv00.net/Smartv-1.php?id=go_spotv
SPO TV 2,https://haoyunlai.serv00.net/Smartv-1.php?id=go_spotv2
Beinsports 2 HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Bein2hd
Skysports Arena,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongarena
Skysports F1,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongf1
Skysports Cricket,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongcricket
Skysports EPL,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongepl
Skysports Football,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongfootball
Skysports Golf,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankonggolf
Skysports Main Event,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongmain
Skysports News,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongnews
Skysports NFL,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongnfl
Skysports Racing,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongracing
Skysports Mix,https://haoyunlai.serv00.net/Smartv-1.php?id=tiankongmix
CCTV-5,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv5
CCTV-5+,https://haoyunlai.serv00.net/Smartv-1.php?id=cctv5plus
愛爾達體育2台,https://haoyunlai.serv00.net/Smartv-1.php?id=eltasport2_twn
愛爾達體育3台,https://haoyunlai.serv00.net/Smartv-1.php?id=eltasport3_twn
RTM Sports HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Rtmsport
Arena,https://haoyunlai.serv00.net/Smartv-1.php?id=Arena
Arena 2,https://haoyunlai.serv00.net/Smartv-1.php?id=Arena2
BolaArena 1,https://haoyunlai.serv00.net/Smartv-1.php?id=Bolaarena1
Bein 1 Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=bein1_mega
Bein 2 Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=bein2_mega
Bein 3 Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=bein3_mega
Bein 4 Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=bein4_mega
Bein 5 Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=bein5_mega
Bein 6 Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=bein6_mega
Bein 7 Sports,https://haoyunlai.serv00.net/Smartv-1.php?id=bein7_mega
Rugby Pass TV,https://haoyunlai.serv00.net/Smartv-1.php?id=Rugbypasstv
BolaArena 2,https://haoyunlai.serv00.net/Smartv-1.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Suntv
Star Vijay,https://haoyunlai.serv00.net/Smartv-1.php?id=Starvijay
Colors Tamil,https://haoyunlai.serv00.net/Smartv-1.php?id=Colorstam_mega
Sun Music,https://haoyunlai.serv00.net/Smartv-1.php?id=Sunmusic
Astro Sunlife,https://haoyunlai.serv00.net/Smartv-1.php?id=Sunlife
Astro Vaanavil,https://haoyunlai.serv00.net/Smartv-1.php?id=Vaanavil
Zee Tamil,https://haoyunlai.serv00.net/Smartv-1.php?id=Zeetamil
Zee Business,https://haoyunlai.serv00.net/Smartv-1.php?id=Zeebusiness
News 18 Tamil,https://haoyunlai.serv00.net/Smartv-1.php?id=news18tamil_raj
Adithya,https://haoyunlai.serv00.net/Smartv-1.php?id=Adithya
Makkal TV,https://haoyunlai.serv00.net/Smartv-1.php?id=Makkaltv
Zee Action,https://haoyunlai.serv00.net/Smartv-1.php?id=Zeeaction
Astro KTV,https://haoyunlai.serv00.net/Smartv-1.php?id=Astroktv
Zee TV HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Zeetvhd
Zee Cinema HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Zeecinemahd
Color HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Colorhd
